"split","Stage_cat","Cell_type","n_cells","mean_naive_prob_I","mean_naive_prob_II_III","mean_naive_prob_IV","mean_cat_mcem_prob_I","mean_cat_mcem_prob_II_III","mean_cat_mcem_prob_IV"
"train","II_III","T lymphocytes",227,0.391551662722811,0.148854381336653,0.459593955940536,0.424306879499324,0.016219286443252,0.559473834057424
"train","II_III","MAST cells",9,0.459615866358096,0.147490621459291,0.392893512182613,0.454926267617818,0.0129125331304962,0.532161199251686
"train","II_III","Myeloid cells",121,0.391329406615172,0.232642161464104,0.376028431920724,0.466423193368689,0.0304844706671281,0.503092335964183
"train","II_III","Endothelial cells",2,0.481955218342792,0.0995824667236567,0.418462314933551,0.492131273802181,0.00741320439293401,0.500455521804885
"train","II_III","Oligodendrocytes",10,0.0917072978570917,0.552882517428262,0.355410184714646,0.109323611833104,0.544654778265989,0.346021609900907
"train","II_III","Fibroblasts",3,0.69353370143687,0.0906229875699931,0.215843310993137,0.693523841894268,0.0183918997128771,0.288084258392855
"train","IV","Epithelial cells",879,0.0661579139828273,0.0500823624884601,0.883759723528713,0.0475966537156868,0.00874604564639276,0.94365730063792
"train","IV","Undetermined",13,0.154880057439139,0.0862520500646743,0.758867892496187,0.0921790674593391,0.00827541644275766,0.899545516097903
"train","IV","Myeloid cells",469,0.174278274805644,0.104418670744528,0.721303054449829,0.148052903385627,0.0108656842258972,0.841081412388476
"train","IV","NK cells",136,0.206671308315902,0.12190913182793,0.671419559856167,0.176134935418058,0.0108257562364243,0.813039308345518
"train","IV","T lymphocytes",868,0.300546490576476,0.128509668171066,0.570943841252457,0.288879792136219,0.0139480384133337,0.697172169450447
"train","IV","Fibroblasts",29,0.358982646488818,0.0964453656427476,0.544571987868435,0.303084070827305,0.0106924056355798,0.686223523537115
"train","IV","Oligodendrocytes",9,0.0764731572413451,0.375899547695148,0.547627295063506,0.0766630355036651,0.316823306773782,0.606513657722553
"train","IV","B lymphocytes",315,0.40479692917491,0.0960036989951209,0.499199371829969,0.394968711922889,0.0133317374253839,0.591699550651727
"train","IV","MAST cells",14,0.413846177664418,0.204477214311718,0.381676608023865,0.417002214031981,0.0192868275277243,0.563710958440294
