"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_backend","glmnet_alpha","seed","rho","label_strength","mcem_samples","model","aggregation","n_patients","n_early","n_advanced","auroc","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","metric_name","metric_value"
"EXP031_binary_NMFk20_glmnet_lasso_seed2026","binary",NA,"NMF",20,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,0.933333333333333,NA,NA,NA,NA,"auroc",0.933333333333333
"EXP031_binary_NMFk20_glmnet_lasso_seed2026","binary",NA,"NMF",20,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP032_binary_NMFk20_xgboost_seed2026","binary",NA,"NMF",20,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,0.933333333333333,NA,NA,NA,NA,"auroc",0.933333333333333
"EXP032_binary_NMFk20_xgboost_seed2026","binary",NA,"NMF",20,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","q90_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP032_binary_NMFk20_xgboost_seed2026","binary",NA,"NMF",20,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP033_binary_NMFk50_glmnet_ridge_seed2026","binary",NA,"NMF",50,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP033_binary_NMFk50_glmnet_ridge_seed2026","binary",NA,"NMF",50,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP033_binary_NMFk50_glmnet_ridge_seed2026","binary",NA,"NMF",50,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP034_binary_NMFk50_glmnet_elasticnet_seed2026","binary",NA,"NMF",50,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP034_binary_NMFk50_glmnet_elasticnet_seed2026","binary",NA,"NMF",50,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP034_binary_NMFk50_glmnet_elasticnet_seed2026","binary",NA,"NMF",50,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP035_binary_NMFk50_glmnet_lasso_seed2026","binary",NA,"NMF",50,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP035_binary_NMFk50_glmnet_lasso_seed2026","binary",NA,"NMF",50,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP035_binary_NMFk50_glmnet_lasso_seed2026","binary",NA,"NMF",50,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP036_binary_NMFk50_xgboost_seed2026","binary",NA,"NMF",50,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
